web-scraper-order,web-scraper-start-url,itemName,price
"1653953699-85","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Seedless Limes
1.36 kg","$7.99"
"1653953699-95","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Whole White Mushrooms
680 g","$6.99"
"1653953699-89","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Mini Cucumbers
2.27 kg","$7.49"
"1653953699-23","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Red Bell Peppers
5 kg","$21.29"
"1653953699-84","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Ginger Root
1.36 kg","$7.99"
"1653953699-61","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Organic Peeled Carrots","$11.19"
"1653953699-67","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Asparagus
1 kg","$9.09"
"1653953699-80","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Red Delicious Apples
2.72 kg","$8.29"
"1653953699-21","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Large Carrots
11.34 kg","$22.89"
"1653953699-81","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Sweet Corn On The Cob
Pack of 8","$8.19"
"1653953699-51","https://www.costcobusinesscentre.ca/fruits-vegetables.html","CDS Garlic Fresh Peeled Garlic
1.36 kg","$12.49"
"1653953699-73","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Kale Superblend","$8.89"
"1653953699-68","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Shallots
2.27 kg","$9.09"
"1653953699-41","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Avocados","$15.19"
"1653953699-27","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Red Beets
11.34 kg","$19.79"
"1653953699-54","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Sweetie Grapefruit
2.27 kg","$11.79"
"1653953699-82","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Sweet Bell Peppers
1.13 kg / 2,5 lb","$8.19"
"1653953699-71","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Blueberries
510 g","$8.89"
"1653953699-13","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Sweet Potatoes
18.14 kg","$38.99"
"1653953699-24","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Pomegranates
Pack of 6","$20.19"
"1653953699-6","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Red Onions
11.34 kg","$44.89"
"1653953699-5","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Iceberg Lettuce
Pack of 24 or 30","$44.99"
"1653953699-52","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Large Carrots
4.54 kg","$12.29"
"1653953699-44","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Happy Village Organic Smyrna Figs
1.13 kg","$14.09"
"1653953699-29","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Portabella Mushrooms
2.27 kg","$19.49"
"1653953699-63","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Peaches","$10.29"
"1653953699-12","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Jumbo Carrots
22.7 kg","$38.99"
"1653953699-55","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Grape Tomatoes
2.72 kg","$11.79"
"1653953699-83","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Ultimate Cesar Salad Kit","$8.09"
"1653953699-22","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Regular Eggplant
11.34 kg","$21.99"
"1653953699-37","https://www.costcobusinesscentre.ca/fruits-vegetables.html","Red Cherries
907 g","$16.09"
