web-scraper-order,web-scraper-start-url,itemName,amount,price
1653954613-137,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Sweet Onion,$5.05/ 1kg,$2.32
1653954613-132,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Bartlett Pears,$5.05/ 1kg,$1.06
1653954613-122,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Raspberries 1/2 pint,$1.76/ 100g,$2.99
1653954613-108,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Farmer's Market,$0.70/ 100g,$1.99
1653954613-120,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Cilantro,$1.19/ 1ea,$1.19
1653954613-138,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Chinese Broccoli (gai lan),$4.37/ 1kg,$2.67
1653954613-113,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Sweet Green Peppers,$6.59/ 1kg,$1.85
1653954613-127,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Strawberries 2LB,$0.77/ 100g,$6.99
1653954613-98,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,English Cucumber,$0.99/ 1ea,$0.99
1653954613-135,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Farmer's Market,$0.59/ 100g,$1.99
1653954613-116,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Green Seedless Grapes,$8.80/ 1kg,$8.98
1653954613-143,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Organic Beet Bunch,$0.71/ 100g,$4.99
1653954613-139,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Organic French Beans,$1.43/ 100g,$4.99
1653954613-142,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Taiwanese Flat Cabbage,$2.84/ 1kg,$3.21
1653954613-106,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Cauliflower,$3.99/ 1ea,$3.99
1653954613-121,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Farmer's Market,$0.26/ 100g,$3.49
1653954613-102,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Farmer's Market,$0.18/ 100g,$2.49
1653954613-125,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Blueberries 1 pint,$1.17/ 100g,$3.99
1653954613-119,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Red Seedless Grapes,$8.80/ 1kg,$8.71
1653954613-128,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Farmer's Market,$0.07/ 100g,$2.99
1653954613-99,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Green Onion,$0.99/ 1ea,$0.99
1653954613-107,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Farmer's Market,$0.66/ 1ea,$1.99
1653954613-118,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Red Onion,$5.49/ 1kg,$2.03
1653954613-124,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,PC Organics,$2.18/ 1kg,$2.40
1653954613-112,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Red Peppers,$6.59/ 1kg,$1.58
1653954613-114,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Zucchini,$4.39/ 1kg,$1.23
1653954613-140,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,PC Organics,$0.66/ 100g,$5.99
1653954613-136,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Mango,$0.99/ 1ea,$0.99
1653954613-144,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,PC Organics,$7.69/ 1kg,$5.54
1653954613-131,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Ginger,$4.37/ 1kg,$0.92
1653954613-130,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Royal Gala Apples,$4.39/ 1kg,$0.92
1653954613-100,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Strawberries 1LB,$0.88/ 100g,$3.99
1653954613-134,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,Rooster,$0.30/ 1ea,$0.89
1653954613-141,https://www.nofrills.ca/food/fruits-vegetables/c/28000?navid=flyout-L2-fruits-vegetables,President's Choice,$0.88/ 100g,$2.99
